id,home_team_api_id,away_team_api_id,buildUpPlaySpeed_home,buildUpPlayPassing_home,chanceCreationPassing_home,chanceCreationCrossing_home,chanceCreationShooting_home,defencePressure_home,defenceAggression_home,defenceTeamWidth_home,buildUpPlaySpeed_away,buildUpPlayPassing_away,chanceCreationPassing_away,chanceCreationCrossing_away,chanceCreationShooting_away,defencePressure_away,defenceAggression_away,defenceTeamWidth_away,AVG_HOME_AGE,AVG_AWAY_AGE,Home_Team_Aggression,Home_Team_Potential,Home_Team_Stamina,Home_Team_OverallRating,Home_Team_FreeKick,Away_Team_Aggression,Away_Team_Potential,Away_Team_Stamina,Away_Team_OverallRating,Away_Team_FreeKick,labels
15172,8277,8611,53,32,53,54,56,42,54,62,38,34,63,65,37,44,41,55,24.364,23.818,59,73,69,70,76,58,76,68,71,77,1
15174,9761,10228,46,54,32,42,42,43,39,50,53,46,65,43,46,46,44,48,26.545,22.545,62,66,69,64,68,62,74,67,67,62,2
15176,10235,10229,54,60,48,67,50,43,43,40,52,46,60,56,52,50,61,55,25.273,22.636,67,76,73,73,80,58,75,67,69,76,1
15177,6433,7788,55,42,37,42,53,43,47,51,45,42,46,56,57,42,49,47,23.0,25.182,59,70,63,65,81,49,68,66,65,73,2
15178,8593,9908,40,30,51,55,39,64,53,64,50,52,55,49,52,45,49,47,23.273,24.636,58,79,72,74,84,54,73,65,68,69,0
15179,8640,8611,67,40,53,53,55,50,62,55,38,34,63,65,37,44,41,55,22.636,23.636,59,81,74,75,80,58,76,68,71,77,0
15180,8674,8277,48,38,57,59,45,49,47,53,53,32,53,54,56,42,54,62,24.455,23.909,62,72,68,68,85,59,74,71,70,80,1
15182,10228,10217,53,46,65,43,46,46,44,48,58,55,55,52,44,57,50,52,22.545,25.182,62,74,67,67,62,62,69,69,66,66,1
15183,7788,6413,45,42,46,56,57,42,49,47,57,39,57,50,54,58,60,63,24.818,24.091,51,68,64,65,73,55,73,71,68,75,0
15185,8640,6433,67,40,53,53,55,50,62,55,55,42,37,42,53,43,47,51,22.636,24.273,58,80,73,74,80,59,69,64,64,74,0
15186,10229,9908,52,46,60,56,52,50,61,55,50,52,55,49,52,45,49,47,22.545,22.727,61,75,69,69,76,52,73,60,67,69,2
15187,8277,9791,53,32,53,54,56,42,54,62,46,32,48,58,59,60,62,47,23.0,24.182,54,75,68,70,80,62,69,64,66,82,0
15188,9761,10235,46,54,32,42,42,43,39,50,54,60,48,67,50,43,43,40,24.818,25.909,61,68,68,64,68,69,75,69,73,69,2
15191,8593,8674,40,30,51,55,39,64,53,64,48,38,57,59,45,49,47,53,22.727,23.818,57,80,70,74,84,59,73,68,68,73,0
15192,6413,9761,57,39,57,50,54,58,60,63,46,54,32,42,42,43,39,50,24.273,26.091,54,72,70,68,75,59,68,66,65,68,0
15194,10217,7788,58,55,55,52,44,57,50,52,45,42,46,56,57,42,49,47,24.727,26.0,60,70,68,66,66,53,67,65,65,68,1
15195,8277,8640,53,32,53,54,56,42,54,62,67,40,53,53,55,50,62,55,23.364,22.818,55,75,70,71,80,59,81,74,75,80,2
15197,9908,10228,50,52,55,49,52,45,49,47,53,46,65,43,46,46,44,48,23.909,22.545,57,72,63,67,60,62,73,68,67,62,2
15198,10235,8611,54,60,48,67,50,43,43,40,38,34,63,65,37,44,41,55,25.455,25.182,69,76,71,73,80,62,76,67,71,77,0
15200,8611,9791,38,34,63,65,37,44,41,55,46,32,48,58,59,60,62,47,25.182,24.727,62,76,67,71,77,64,70,63,66,82,0
15201,7788,8640,45,42,46,56,57,42,49,47,67,40,53,53,55,50,62,55,24.727,22.818,56,68,62,65,65,59,81,74,75,80,2
15203,6413,10229,57,39,57,50,54,58,60,63,52,46,60,56,52,50,61,55,23.909,22.727,54,72,71,67,75,60,75,72,69,76,1
15204,10228,8277,53,46,65,43,46,46,44,48,53,32,53,54,56,42,54,62,22.455,23.455,59,74,67,67,62,55,75,70,71,80,0
15205,8593,10235,40,30,51,55,39,64,53,64,54,60,48,67,50,43,43,40,22.818,25.455,57,79,70,73,84,67,76,74,73,80,1
15207,8674,9908,48,38,57,59,45,49,47,53,50,52,55,49,52,45,49,47,23.818,24.091,59,73,68,68,73,58,72,63,67,60,1
15208,6433,10217,55,42,37,42,53,43,47,51,58,55,55,52,44,57,50,52,25.273,24.727,62,68,63,65,81,60,70,68,67,66,0
15209,10235,10228,54,60,48,67,50,43,43,40,53,46,65,43,46,46,44,48,24.182,22.636,63,76,68,71,75,62,74,68,67,77,1
15210,8640,9761,67,40,53,53,55,50,62,55,46,54,32,42,42,43,39,50,21.636,23.727,61,80,73,73,80,57,70,68,66,62,0
15212,8611,10217,38,34,63,65,37,44,41,55,58,55,55,52,44,57,50,52,22.545,25.091,58,75,70,70,73,59,69,67,66,66,1
15213,8277,7788,53,32,53,54,56,42,54,62,45,42,46,56,57,42,49,47,23.545,24.182,53,75,70,71,72,57,68,66,65,72,1
15214,10229,8593,52,46,60,56,52,50,61,55,40,30,51,55,39,64,53,64,23.636,23.545,61,74,75,70,73,62,78,72,74,82,2
15217,8674,9791,48,38,57,59,45,49,47,53,46,32,48,58,59,60,62,47,25.273,24.909,62,71,69,68,85,63,70,63,66,82,0
15218,8674,6433,48,38,57,59,45,49,47,53,55,42,37,42,53,43,47,51,24.0,25.455,58,73,68,68,85,62,68,63,65,81,0
15222,8611,7788,38,34,63,65,37,44,41,55,45,42,46,56,57,42,49,47,23.273,25.091,61,76,68,70,77,57,68,63,65,68,0
15223,10235,10217,54,60,48,67,50,43,43,40,58,55,55,52,44,57,50,52,25.545,24.727,67,76,74,73,80,60,70,68,67,66,0
15224,9908,6413,50,52,55,49,52,45,49,47,57,39,57,50,54,58,60,63,23.909,23.636,58,73,64,68,60,53,73,70,67,75,2
15225,8277,8593,53,32,53,54,56,42,54,62,40,30,51,55,39,64,53,64,23.091,22.455,51,75,66,70,80,59,80,69,73,84,0
15226,10229,9791,52,46,60,56,52,50,61,55,46,32,48,58,59,60,62,47,22.818,24.727,61,75,73,70,76,64,69,65,66,82,0
15228,9761,8640,46,54,32,42,42,43,39,50,67,40,53,53,55,50,62,55,25.727,22.818,58,68,66,65,68,59,81,74,75,80,2
15229,10228,10235,53,46,65,43,46,46,44,48,54,60,48,67,50,43,43,40,22.818,25.545,63,73,69,67,62,69,76,71,73,80,0
15232,7788,8277,45,42,46,56,57,42,49,47,53,32,53,54,56,42,54,62,26.182,23.545,55,67,63,64,68,54,75,67,70,80,2
15233,10217,8611,58,55,55,52,44,57,50,52,38,34,63,65,37,44,41,55,25.545,23.273,58,70,67,68,72,61,76,68,71,77,0
15234,9791,8674,46,32,48,58,59,60,62,47,48,38,57,59,45,49,47,53,25.455,24.0,60,69,66,65,82,58,73,68,68,85,1
15235,8593,10229,40,30,51,55,39,64,53,64,52,46,60,56,52,50,61,55,22.091,22.909,58,80,66,72,84,60,75,71,70,77,2
15238,10228,6413,53,46,65,43,46,46,44,48,57,39,57,50,54,58,60,63,22.818,24.273,63,73,69,67,62,54,72,71,68,75,0
15239,9761,8277,46,54,32,42,42,43,39,50,53,32,53,54,56,42,54,62,24.636,23.636,60,68,63,64,64,56,75,67,70,80,2
15240,8640,9908,67,40,53,53,55,50,62,55,50,52,55,49,52,45,49,47,22.818,23.455,59,81,74,75,80,55,73,64,68,69,0
15241,10235,7788,54,60,48,67,50,43,43,40,45,42,46,56,57,42,49,47,25.545,25.0,69,76,71,73,80,55,68,66,65,68,0
15243,6433,8593,55,42,37,42,53,43,47,51,40,30,51,55,39,64,53,64,24.818,22.0,61,69,63,65,81,59,80,69,73,84,2
15244,8674,10229,48,38,57,59,45,49,47,53,52,46,60,56,52,50,61,55,23.636,23.0,60,73,68,68,73,58,75,71,70,77,2
