id,AVG_HOME_AGE,AVG_AWAY_AGE
1002,25.818,27.273
1003,25.0,24.091
1004,25.182,28.455
1005,26.0,25.455
1006,25.091,26.545
1007,27.0,24.636
1008,24.636,27.364
1009,24.818,26.273
1010,26.091,22.636
1011,27.364,26.091
1012,27.0,28.455
1013,25.273,26.909
1014,25.545,26.818
1015,24.545,26.091
1016,25.273,26.091
1017,27.364,26.091
1018,24.455,23.909
1019,28.636,22.818
1020,28.182,27.182
1021,26.818,26.091
1022,25.0,28.273
1023,25.091,28.091
1024,26.091,27.0
1025,24.545,25.727
1026,26.091,25.545
1027,27.0,25.364
1028,27.909,24.727
1029,26.0,24.818
1030,25.636,24.0
1031,25.091,23.364
1032,28.273,26.727
1033,27.545,26.091
1034,24.364,27.091
1035,28.182,26.364
1036,26.818,25.455
1037,27.182,25.091
1038,24.0,27.364
1039,24.636,26.818
1040,24.364,27.364
1041,24.364,26.091
1042,26.091,23.545
1043,25.364,25.091
1044,28.455,26.818
1045,25.0,25.909
1046,24.727,28.545
1047,25.091,26.182
1048,27.818,26.091
1049,26.182,24.818
1050,23.909,25.455
1051,26.818,24.545
1052,28.818,25.273
1053,25.0,25.455
1054,24.545,26.364
1055,25.0,24.0
1056,27.818,27.818
1057,26.182,25.0
1058,24.273,25.0
1059,26.091,26.545
1060,27.727,25.273
1061,27.091,24.364
1062,23.909,23.455
1063,24.545,27.0
1064,24.091,25.182
1065,23.636,25.455
1066,24.818,27.727
1067,26.455,27.091
1068,27.636,27.0
1069,26.091,26.364
1070,25.091,28.091
1071,25.091,25.273
1072,25.455,25.818
1073,26.636,24.909
1074,26.182,24.909
1075,24.727,27.182
1076,26.636,23.273
1077,24.273,25.091
1078,25.273,24.273
1079,24.818,26.727
1080,25.455,26.364
1081,25.455,24.545
1082,25.818,26.727
1083,28.0,25.0
1084,28.091,26.636
1085,27.727,27.455
1086,24.455,25.636
1087,25.455,24.727
1088,26.727,25.909
1089,26.636,28.364
1090,24.545,25.091
1091,26.727,26.0
1092,27.545,25.182
1093,26.636,27.364
1094,25.091,
1095,24.909,25.909
1096,24.727,26.273
1097,27.273,24.818
1098,25.818,24.273
1099,24.091,25.455
1100,27.364,25.455
1101,24.091,26.545
1102,26.091,25.818
1103,25.0,24.455
1104,26.182,26.636
1105,26.091,24.091
1106,25.818,26.636
1107,27.909,25.091
1108,27.909,26.727
1109,26.364,25.818
1110,26.818,24.545
1111,23.364,26.545
1112,24.909,28.0
1113,24.727,
1114,28.455,27.909
1115,26.727,25.091
1116,27.455,26.0
1117,26.273,25.455
1118,27.0,25.364
1119,25.545,24.818
1120,26.818,27.091
1121,26.091,26.091
1122,,27.273
1123,27.818,26.273
1124,25.818,26.364
1125,27.364,25.273
1126,24.455,26.091
1127,24.818,27.909
1128,24.727,26.091
1129,25.273,25.0
1130,,25.455
1131,26.0,26.364
1132,27.727,26.091
1133,25.636,24.455
1134,25.909,25.727
1135,25.636,25.091
1136,27.091,25.455
1137,25.727,26.364
1138,25.091,
1139,27.818,26.818
1140,26.818,26.455
1141,26.182,27.455
1142,23.545,27.545
1143,23.545,25.909
1144,25.909,25.182
1145,,26.182
1146,25.727,25.636
1147,26.545,27.636
1148,27.273,25.727
1149,25.182,25.545
1150,25.455,25.727
1151,25.273,26.909
1152,26.455,24.182
1153,,26.818
1154,24.0,26.727
1155,27.727,25.818
1156,26.0,23.364
1157,26.364,25.182
1158,24.636,24.364
1159,25.818,25.909
1160,23.091,
1161,25.545,25.273
1162,26.455,27.636
1163,26.273,26.455
1164,27.364,
1165,26.636,25.818
1166,25.091,25.0
1167,25.364,26.364
1168,27.545,23.636
1169,,24.0
1170,,25.091
1171,27.364,24.636
1172,25.636,27.909
1173,25.0,26.455
1174,25.182,26.636
1175,24.273,26.545
1176,26.545,26.273
1177,25.182,24.727
1178,25.727,26.818
1179,28.364,24.455
1180,28.455,26.909
1181,25.545,
1182,23.727,26.455
1183,24.545,26.0
1184,24.545,25.182
1185,25.636,25.182
1186,25.636,
1187,26.455,
1188,28.364,26.545
1189,26.455,26.545
1190,26.909,28.364
1191,25.0,24.273
1192,26.455,25.273
1193,26.364,27.545
1194,26.545,25.727
1195,24.455,25.182
1196,26.636,24.545
1197,25.0,26.545
1198,24.273,26.182
1199,24.364,26.545
1200,26.545,25.0
1201,26.545,25.273
1202,24.545,26.727
1203,27.455,26.545
1204,27.545,24.455
1205,26.364,25.0
1206,27.182,25.273
1207,25.0,25.0
1208,26.0,28.273
1209,25.727,24.455
1210,26.545,26.727
1211,25.091,26.727
1212,,26.182
1213,25.364,27.091
1214,24.0,27.364
1215,26.727,24.273
1216,27.182,25.273
1217,25.545,26.727
1218,24.727,26.636
1219,28.364,24.364
1220,27.0,24.909
1221,26.364,26.182
1222,24.727,24.636
1223,26.0,26.091
1224,24.364,25.182
1225,24.364,25.909
1226,25.0,26.818
1227,27.364,28.182
1228,26.636,23.818
1229,26.0,25.0
1230,25.364,27.364
1231,25.091,26.091
1232,27.364,27.818
1233,26.0,25.455
1234,24.091,24.818
1235,27.909,27.0
1236,26.182,23.909
1237,25.636,23.364
1238,24.727,25.727
1239,22.455,25.0
1240,25.727,27.182
1241,25.091,27.091
1242,25.909,23.182
1243,26.182,24.273
1244,23.0,26.364
1245,,25.909
1246,26.273,25.545
1247,25.909,26.545
1248,22.636,22.727
1249,25.273,24.455
1250,26.727,25.091
1251,26.545,24.909
1252,23.545,29.091
1253,26.273,
1254,24.636,25.727
1255,21.818,25.545
1256,25.364,25.818
1257,24.818,25.545
1258,23.364,25.273
1259,27.273,26.091
1260,26.0,24.818
1261,27.182,27.545
1262,24.273,25.545
1263,26.455,25.545
1264,26.364,25.909
1265,25.182,25.091
1266,25.909,27.0
1267,24.818,26.0
1268,27.545,26.455
1269,27.182,26.182
1270,25.091,26.0
1271,25.727,23.636
1272,25.636,24.636
1273,25.636,25.091
1274,23.545,25.364
1275,24.909,27.727
1276,25.091,26.182
1277,25.818,27.091
1278,24.636,25.818
1279,27.0,26.455
1280,27.0,26.0
1281,25.636,24.091
1282,25.091,26.727
1283,28.273,26.455
1284,25.909,25.455
1285,,25.182
1286,26.091,23.273
1287,25.545,25.545
1288,26.273,24.818
1289,23.273,
1290,25.273,25.818
1291,27.0,24.091
1292,25.545,26.0
1293,23.818,25.091
1294,26.636,25.818
1295,25.364,28.273
1296,26.0,26.455
1297,24.818,26.636
1298,25.909,24.545
1299,25.182,23.727
1300,28.091,25.545
1301,25.818,27.364
1302,,25.364
1303,26.273,24.545
1304,25.818,26.273
1305,,24.727
1306,,26.182
1307,26.091,25.545
1308,26.727,25.364
1309,24.0,24.273
1310,24.0,26.455
1311,28.091,25.545
1312,27.455,23.818
1313,23.545,26.545
1314,24.545,26.727
1315,25.0,24.0
1316,24.818,28.091
1317,24.182,
1318,26.182,27.455
1319,25.182,
1320,25.636,24.273
1321,27.091,24.909
1322,24.727,24.455
1323,26.636,24.909
1324,27.273,25.727
1325,26.182,24.091
1326,27.273,24.545
1327,25.545,24.818
1328,26.0,25.909
1329,23.0,27.091
1330,25.818,26.0
1331,23.545,25.727
1332,25.273,26.636
1333,24.818,24.545
1334,24.909,25.818
1335,25.909,27.545
1336,24.909,23.636
1337,25.364,23.636
1338,24.455,26.636
1339,25.182,25.091
1340,26.364,22.182
1341,25.818,26.273
1342,24.364,27.273
1343,,24.182
1344,25.0,22.091
1345,25.273,24.455
1346,23.909,25.182
1347,27.818,24.636
1348,25.182,24.0
1349,,25.818
1350,,26.455
1351,25.909,24.818
1352,24.727,23.636
1353,23.727,26.273
1354,25.091,27.0
1355,25.545,27.0
1356,25.636,25.818
1357,26.0,23.273
1358,24.909,25.636
1359,25.636,25.818
1360,25.364,26.0
1361,25.727,25.182
1362,23.636,26.455
1363,26.273,25.818
1364,26.727,25.545
1365,25.727,23.364
1366,26.091,22.182
1367,26.727,24.364
1368,26.091,27.273
1369,25.909,23.455
1370,24.455,25.909
1371,23.273,27.091
1372,27.273,26.273
1373,25.818,26.455
1374,25.091,26.818
1375,,26.182
1376,25.0,26.364
1377,24.818,27.273
1378,23.0,25.455
1379,26.455,22.818
1380,,25.182
1381,26.818,23.636
1382,23.182,24.636
1383,26.455,25.0
1384,27.0,25.364
1385,23.636,
1386,25.727,26.636
1387,23.636,26.364
1388,26.909,25.909
1389,26.182,23.545
1390,25.455,25.091
1391,24.545,26.727
1392,24.909,24.727
1393,23.727,24.909
1394,24.455,26.636
1395,27.091,25.091
1396,25.545,23.455
1397,24.545,26.818
1398,,24.182
1399,26.636,25.091
1400,27.182,25.455
1401,23.727,27.182
1402,25.636,24.818
1403,25.091,26.545
1404,27.182,27.091
1405,26.455,25.727
1406,26.091,25.909
1407,25.364,
1408,25.0,26.182
1409,25.273,
1410,24.818,25.364
1411,23.727,25.182
1412,26.0,27.0
1413,25.636,26.455
1414,,25.364
1415,26.909,26.0
