id,home_team_api_id,away_team_api_id,buildUpPlaySpeed_home,buildUpPlayPassing_home,chanceCreationPassing_home,chanceCreationCrossing_home,chanceCreationShooting_home,defencePressure_home,defenceAggression_home,defenceTeamWidth_home,buildUpPlaySpeed_away,buildUpPlayPassing_away,chanceCreationPassing_away,chanceCreationCrossing_away,chanceCreationShooting_away,defencePressure_away,defenceAggression_away,defenceTeamWidth_away,AVG_HOME_AGE,AVG_AWAY_AGE,Home_Team_Aggression,Home_Team_Potential,Home_Team_Stamina,Home_Team_OverallRating,Home_Team_FreeKick,Away_Team_Aggression,Away_Team_Potential,Away_Team_Stamina,Away_Team_OverallRating,Away_Team_FreeKick,labels
22842,8661,8371,53,52,55,52,53,47,48,55,55,54,56,69,68,48,61,68,28.091,27.455,65,76,66,73,70,68,73,73,72,73,1
22415,8558,10205,55,40,70,55,70,70,50,60,64,30,55,35,70,65,30,70,25.727,26.545,67,80,70,75,85,68,83,73,79,83,2
10222,10189,9810,58,42,64,61,37,55,59,56,51,38,47,58,40,48,42,55,25.182,25.818,67,81,72,77,85,69,78,71,75,78,0
25809,10191,10192,58,35,64,36,66,47,45,53,52,64,39,66,46,44,34,50,25.273,25.455,54,66,62,62,66,55,74,68,70,74,2
24394,9906,9783,57,50,61,62,49,49,42,52,53,47,38,52,55,45,50,59,25.455,29.091,70,84,75,81,78,69,76,65,74,78,0
2842,8654,9879,58,30,31,70,50,30,70,30,60,70,70,70,50,40,35,40,28.091,29.909,68,78,74,74,68,72,79,75,76,80,1
17010,8245,10265,70,50,48,53,68,58,43,60,30,30,32,72,50,60,58,61,28.4,25.364,68,66,69,62,68,50,66,63,63,67,2
7713,8639,8121,45,43,68,52,64,59,42,48,48,50,40,52,48,44,44,51,29.091,26.636,68,76,68,74,77,61,73,68,71,76,1
12632,9875,8533,72,34,76,66,73,61,59,39,66,67,52,66,52,46,59,51,26.455,27.909,63,80,73,77,75,67,74,64,72,78,2
23658,10267,8305,20,35,38,56,55,51,38,59,29,40,58,42,52,49,45,47,25.727,27.727,62,80,67,75,76,62,74,64,72,79,2
5947,9941,9851,65,50,50,50,65,35,55,50,65,35,65,65,65,55,45,65,23.364,24.636,68,76,73,72,75,65,79,69,74,71,0
2815,8658,8650,70,70,70,70,70,70,70,70,50,35,50,60,70,40,60,40,27.273,27.909,77,80,74,76,85,76,84,74,80,85,1
4256,8472,10261,60,61,56,44,58,41,38,53,54,47,47,51,39,56,54,51,27.818,26.364,66,74,71,73,83,63,77,74,74,80,0
14639,10217,10228,38,44,55,60,44,50,58,62,67,53,48,75,39,45,44,48,24.273,23.909,63,71,68,66,82,63,73,74,69,70,0
19508,10238,10212,58,42,54,52,52,37,37,58,61,66,67,64,55,38,49,46,25.909,25.545,62,72,65,69,59,66,71,66,68,76,1
3904,8466,8344,47,38,52,56,58,57,63,44,60,69,54,59,62,47,43,56,24.545,24.364,66,79,73,74,80,63,77,71,72,82,2
585,8571,9994,50,60,50,50,50,60,60,65,60,60,50,40,50,65,65,70,26.273,25.545,66,68,68,65,71,56,70,66,65,76,1
22443,10205,9864,64,30,55,35,70,65,30,70,60,55,40,45,70,45,65,45,26.727,25.455,67,83,72,78,83,67,78,64,71,78,1
7512,6391,9830,48,52,55,53,55,42,46,53,63,56,52,55,46,39,41,52,26.727,25.364,62,70,62,67,62,69,76,68,72,57,1
23523,8315,9865,46,38,52,73,37,37,60,68,46,65,57,54,40,37,53,45,26.091,28,67,79,70,76,82,71,72,75,69,73,0
4718,8586,8668,47,40,41,41,63,63,54,56,43,40,39,33,63,52,58,59,24.818,27.182,71,82,76,78,78,68,81,74,78,78,1
3889,10252,9879,63,59,52,55,34,39,41,54,52,49,49,56,59,39,39,57,25.091,27.727,69,76,68,72,76,70,76,71,74,76,2
2664,8659,8528,65,40,70,70,55,70,70,70,70,70,70,70,50,35,70,35,26.5,25.636,65,76,71,72,85,68,79,71,72,74,1
15546,9791,6413,50,61,48,58,59,60,62,47,45,56,57,50,58,58,60,63,24.273,24,56,73,63,68,68,58,73,63,68,67,0
22619,10267,8315,30,30,55,60,70,55,60,60,60,45,35,70,55,30,70,35,27.545,26.273,73,83,74,79,78,74,79,71,75,63,0
6117,9853,9748,65,35,35,65,65,35,45,65,65,50,50,50,80,45,45,65,25.091,26.273,65,77,68,72,75,67,81,70,77,86,2
18572,9773,9772,50,50,50,65,65,55,43,65,65,35,65,55,51,55,56,60,25.364,26.182,72,83,77,80,85,69,81,73,78,86,1
9427,9790,10189,34,38,34,59,48,45,35,58,60,47,62,54,52,45,58,42,25.091,24.909,61,79,65,74,83,67,80,71,76,84,2
736,9986,8342,40,50,45,43,60,70,70,70,35,40,45,50,45,60,70,70,23.7,26.545,61,66,64,62,71,58,75,72,70,69,2
23451,8581,7878,57,63,55,61,52,47,52,56,52,37,72,76,52,49,45,68,28.364,26,69,76,69,73,72,60,75,69,71,80,2
16386,2182,8245,40,35,45,40,70,60,55,45,30,45,45,35,70,50,70,50,25.556,28.375,54,72,72,69,79,65,63,70,61,62,0
14200,9761,8611,33,44,35,40,60,42,47,54,55,55,63,62,47,61,59,54,24.727,26.818,62,71,67,67,75,60,76,71,73,73,2
11745,8524,8636,65,50,50,65,55,45,55,65,55,50,50,55,65,50,60,55,25.636,30.545,64,76,67,72,76,75,83,74,82,90,1
11542,8564,9875,65,50,50,60,50,50,50,50,50,35,65,65,50,50,70,45,29.364,28.182,70,83,76,81,83,74,82,75,80,76,1
12653,8564,10167,48,52,66,36,75,58,57,49,48,33,69,62,45,54,66,46,27.909,30.182,65,80,68,77,83,65,73,64,73,71,0
24190,10205,8302,48,36,36,52,55,47,48,44,53,53,53,52,60,42,48,59,25,26.818,67,82,68,77,76,67,81,73,79,83,0
16501,8245,2186,67,66,49,49,69,57,48,67,46,51,48,48,52,48,33,63,26.7,28.2,65,65,69,61,54,64,61,51,61,65,1
